task_id,task_name,category,priority,task_duration_days,days_until_deadline,percent_complete,expected_percent_complete,num_dependencies,num_dependencies_incomplete,resource_availability_pct,team_workload_score,past_delays_count,progress_gap,risk_score_raw,risk_label
T0001,Testing task 1,Testing,Low,2,18,30.4,0.0,5,3,72.0,2.4,0,-30.4,0.18347495627804736,Low
T0002,Research task 2,Research,High,11,8,33.5,27.3,2,0,64.3,3.8,0,-6.199999999999999,0.026292668770550254,Low
T0003,Research task 3,Research,Medium,10,20,100.0,0.0,2,2,100.0,3.5,1,-100.0,0.23716810048278306,Medium
T0004,Development task 4,Development,Low,7,15,100.0,0.0,0,0,100.0,8.8,1,-100.0,0.13623095020413686,Low
T0005,Research task 5,Research,Medium,7,12,44.7,0.0,2,2,70.9,3.5,0,-44.7,0.3220375441586743,Medium
T0006,Presentation task 6,Presentation,Medium,13,18,45.9,0.0,1,1,71.3,7.2,0,-45.9,0.30461564221863036,Medium
T0007,Presentation task 7,Presentation,Medium,2,9,26.3,0.0,5,5,62.5,5.0,0,-26.3,0.24488204135507544,Medium
T0008,Presentation task 8,Presentation,High,10,14,7.3,0.0,3,0,92.1,4.9,0,-7.3,0.0,Low
T0009,Presentation task 9,Presentation,Medium,3,4,52.1,0.0,0,0,63.4,2.9,3,-52.1,0.12064493716043129,Low
T0010,Testing task 10,Testing,Medium,2,20,30.1,0.0,0,0,61.6,4.9,0,-30.1,0.07003706985848143,Low
T0011,Design task 11,Design,Medium,8,12,52.9,0.0,5,0,89.6,3.1,1,-52.9,0.17005357101052138,Low
T0012,Development task 12,Development,Low,14,15,15.0,0.0,5,3,59.2,5.4,0,-15.0,0.2416842670359924,Medium
T0013,Design task 13,Design,Medium,11,8,36.0,27.3,4,1,69.2,4.4,0,-8.7,0.19887094020915835,Low
T0014,Presentation task 14,Presentation,High,11,17,58.7,0.0,0,0,38.4,2.6,1,-58.7,0.13381512103913737,Low
T0015,Development task 15,Development,Medium,11,-1,64.2,100.0,0,0,84.1,7.5,0,35.8,0.3126666255859677,Medium
T0016,Development task 16,Development,Low,12,0,65.4,100.0,1,0,100.0,6.1,1,34.599999999999994,0.2776353155412212,Medium
T0017,Documentation task 17,Documentation,Medium,8,9,22.0,0.0,4,1,84.4,3.9,0,-22.0,0.1772269659296223,Low
T0018,Development task 18,Development,High,2,14,76.4,0.0,4,1,99.2,5.4,0,-76.4,0.13778123778372994,Low
T0019,Development task 19,Development,High,12,16,35.0,0.0,5,2,53.1,4.8,1,-35.0,0.1728166411595001,Low
T0020,Design task 20,Design,Medium,7,8,70.8,0.0,0,0,74.7,2.8,0,-70.8,0.16107570690432085,Low
T0021,Research task 21,Research,Medium,8,12,54.7,0.0,0,0,51.1,5.2,0,-54.7,0.13670922505068434,Low
T0022,Research task 22,Research,Medium,6,10,20.6,0.0,5,2,65.4,3.4,1,-20.6,0.1634573271395009,Low
T0023,Development task 23,Development,High,3,20,47.1,0.0,5,4,85.4,2.6,0,-47.1,0.052758068220881554,Low
T0024,Presentation task 24,Presentation,High,13,13,64.1,0.0,4,2,72.0,0.9,1,-64.1,0.18388664622473355,Low
T0025,Design task 25,Design,High,11,7,70.3,36.4,0,0,41.7,4.1,0,-33.9,0.15400063198309413,Low
T0026,Testing task 26,Testing,Medium,10,20,51.5,0.0,0,0,43.7,6.4,1,-51.5,0.20211294949676176,Low
T0027,Design task 27,Design,Low,6,0,93.3,100.0,0,0,42.4,3.3,0,6.700000000000003,0.18920876644445914,Low
T0028,Design task 28,Design,Medium,12,20,80.2,0.0,4,2,79.8,10.0,1,-80.2,0.24820577466002755,Medium
T0029,Research task 29,Research,Low,8,1,48.6,87.5,5,0,100.0,7.2,1,38.9,0.28233764532514516,Medium
T0030,Testing task 30,Testing,Low,7,4,73.8,42.9,3,2,97.2,8.3,1,-30.9,0.27852471022303066,Medium
T0031,Testing task 31,Testing,Medium,7,16,100.0,0.0,1,0,32.1,7.0,1,-100.0,0.2554725553183342,Medium
T0032,Development task 32,Development,Medium,4,14,100.0,0.0,4,1,98.4,9.6,0,-100.0,0.17484842058127006,Low
T0033,Testing task 33,Testing,High,2,20,24.3,0.0,0,0,88.7,3.0,0,-24.3,0.10939687471583795,Low
T0034,Development task 34,Development,High,8,15,31.8,0.0,4,2,39.1,0.0,1,-31.8,0.18406795761579278,Low
T0035,Design task 35,Design,High,13,12,92.1,7.7,5,0,63.9,3.9,1,-84.39999999999999,0.10410534576048389,Low
T0036,Documentation task 36,Documentation,High,1,5,28.5,0.0,4,1,91.9,6.4,1,-28.5,0.1747374454120349,Low
T0037,Testing task 37,Testing,Medium,13,-2,21.9,100.0,5,1,81.0,5.4,2,78.1,0.45154734574197364,High
T0038,Research task 38,Research,Low,12,0,42.8,100.0,3,3,43.8,5.7,1,57.2,0.5983025821206293,High
T0039,Development task 39,Development,Medium,4,4,65.5,0.0,2,2,82.2,8.3,0,-65.5,0.21742422805701472,Medium
T0040,Development task 40,Development,Low,9,-2,52.4,100.0,1,0,27.2,6.0,0,47.6,0.3844136520008118,High
T0041,Documentation task 41,Documentation,Low,3,9,38.7,0.0,5,3,65.5,7.0,1,-38.7,0.17248209633083542,Low
T0042,Design task 42,Design,Low,11,15,38.1,0.0,4,3,92.8,2.7,0,-38.1,0.16254415236642497,Low
T0043,Presentation task 43,Presentation,High,10,20,37.2,0.0,1,0,70.4,2.3,1,-37.2,0.17604835178212136,Low
T0044,Testing task 44,Testing,Medium,5,9,33.0,0.0,5,2,60.0,9.0,0,-33.0,0.2558128336125949,Medium
T0045,Research task 45,Research,High,1,18,100.0,0.0,0,0,87.8,5.3,1,-100.0,0.146645935638323,Low
T0046,Development task 46,Development,High,14,20,62.4,0.0,3,3,89.5,3.4,0,-62.4,0.33436569486561946,High
T0047,Presentation task 47,Presentation,High,7,17,77.2,0.0,1,0,96.2,3.4,0,-77.2,0.07690279240600478,Low
T0048,Design task 48,Design,Low,13,8,42.8,38.5,3,0,87.5,3.4,0,-4.299999999999997,0.03148939777059888,Low
T0049,Documentation task 49,Documentation,High,10,5,50.4,50.0,2,1,91.6,3.2,0,-0.3999999999999986,0.09588823652987483,Low
T0050,Documentation task 50,Documentation,High,11,20,37.2,0.0,2,0,84.7,1.8,1,-37.2,0.06664957707781699,Low
T0051,Documentation task 51,Documentation,High,11,3,0.0,72.7,4,1,75.3,1.2,1,72.7,0.3545219344036205,High
T0052,Research task 52,Research,Low,3,7,20.5,0.0,4,1,71.8,4.5,0,-20.5,0.12189565000932842,Low
T0053,Development task 53,Development,Low,6,-1,9.7,100.0,2,0,65.3,3.5,0,90.3,0.5298626954629745,High
T0054,Development task 54,Development,High,7,16,0.0,0.0,5,5,45.8,7.8,1,0.0,0.43294114737194395,High
T0055,Development task 55,Development,Low,7,12,25.1,0.0,2,0,50.9,5.7,0,-25.1,0.07680537589756681,Low
T0056,Presentation task 56,Presentation,Medium,1,-1,88.1,100.0,0,0,64.4,5.7,2,11.900000000000006,0.23297485743832239,Medium
T0057,Research task 57,Research,Medium,8,3,53.9,62.5,0,0,74.8,3.1,0,8.600000000000001,0.1111997806543304,Low
T0058,Testing task 58,Testing,Low,3,10,87.3,0.0,1,1,98.8,4.7,0,-87.3,0.2022544473082626,Medium
T0059,Presentation task 59,Presentation,Low,11,10,65.3,9.1,4,3,69.2,5.9,0,-56.199999999999996,0.3118537794252828,Medium
T0060,Presentation task 60,Presentation,High,10,16,74.6,0.0,3,2,90.1,6.8,1,-74.6,0.3686150633803609,High
T0061,Testing task 61,Testing,High,13,4,32.5,69.2,2,2,91.6,4.8,0,36.7,0.3330996685192003,Medium
T0062,Presentation task 62,Presentation,High,11,19,68.1,0.0,2,0,65.4,7.7,0,-68.1,0.14661356428289854,Low
T0063,Development task 63,Development,Low,6,8,73.2,0.0,5,1,81.9,5.0,1,-73.2,0.1815785007818857,Low
T0064,Testing task 64,Testing,Low,14,16,40.6,0.0,3,0,65.1,7.0,0,-40.6,0.12323916405225704,Low
T0065,Testing task 65,Testing,Medium,6,3,69.0,50.0,0,0,96.4,3.8,0,-19.0,0.07535190692547414,Low
T0066,Research task 66,Research,Medium,5,-2,69.2,100.0,0,0,82.7,0.5,0,30.799999999999997,0.1904980945608227,Low
